Time,Daily_cases
2020-02-29,1.0
2020-03-01,9.0
2020-03-02,3.0
2020-03-03,9.0
2020-03-04,16.0
2020-03-05,22.0
2020-03-06,46.0
2020-03-07,54.0
2020-03-08,31.0
2020-03-09,49.0
2020-03-10,55.0
2020-03-11,59.0
2020-03-12,102.0
2020-03-13,132.0
2020-03-14,189.0
2020-03-15,134.0
2020-03-16,150.0
2020-03-17,262.0
2020-03-18,286.0
2020-03-19,334.0
2020-03-20,426.0
2020-03-21,440.0
2020-03-22,479.0
2020-03-23,396.0
2020-03-24,696.0
2020-03-25,773.0
2020-03-26,1159.0
2020-03-27,1005.0
2020-03-28,1116.0
2020-03-29,905.0
2020-03-30,885.0
2020-03-31,1264.0
2020-04-01,1213.0
2020-04-02,1198.0
2020-04-03,1412.0
2020-04-04,1324.0
2020-04-05,1063.0
2020-04-06,1168.0
2020-04-07,1348.0
2020-04-08,1174.0
2020-04-09,1319.0
2020-04-10,1642.0
2020-04-11,1685.0
2020-04-12,1171.0
2020-04-13,921.0
2020-04-14,933.0
2020-04-15,1270.0
2020-04-16,1228.0
2020-04-17,1484.0
2020-04-18,1473.0
2020-04-19,1110.0
2020-04-20,982.0
2020-04-21,1357.0
2020-04-22,1196.0
2020-04-23,1084.0
2020-04-24,1261.0
2020-04-25,1132.0
2020-04-26,836.0
2020-04-27,801.0
2020-04-28,920.0
2020-04-29,755.0
2020-04-30,827.0
2020-05-01,916.0
2020-05-02,846.0
2020-05-03,795.0
2020-05-04,1078.0
2020-05-05,722.0
2020-05-06,712.0
2020-05-07,745.0
2020-05-08,774.0
2020-05-09,771.0
2020-05-10,599.0
2020-05-11,503.0
2020-05-12,590.0
2020-05-13,589.0
2020-05-14,556.0
2020-05-15,566.0
2020-05-16,582.0
2020-05-17,529.0
2020-05-18,448.0
2020-05-19,511.0
2020-05-20,480.0
2020-05-21,524.0
2020-05-22,515.0
2020-05-23,531.0
2020-05-24,480.0
2020-05-25,442.0
2020-05-26,512.0
2020-05-27,424.0
2020-05-28,415.0
2020-05-29,449.0
2020-05-30,416.0
2020-05-31,321.0
2020-06-01,330.0
2020-06-02,307.0
2020-06-03,329.0
2020-06-04,307.0
2020-06-05,341.0
2020-06-06,324.0
2020-06-07,325.0
2020-06-08,311.0
2020-06-09,287.0
2020-06-10,239.0
2020-06-11,258.0
2020-06-12,221.0
2020-06-13,237.0
2020-06-14,232.0
2020-06-15,181.0
2020-06-16,224.0
2020-06-17,186.0
2020-06-18,209.0
2020-06-19,197.0
2020-06-20,212.0
2020-06-21,172.0
2020-06-22,143.0
2020-06-23,173.0
2020-06-24,167.0
2020-06-25,154.0
2020-06-26,185.0
2020-06-27,125.0
2020-06-28,116.0
2020-06-29,105.0
2020-06-30,290.0
2020-07-01,145.0
2020-07-02,66.0
2020-07-03,246.0
2020-07-04,163.0
2020-07-05,117.0
2020-07-06,105.0
2020-07-07,182.0
2020-07-08,123.0
2020-07-09,152.0
2020-07-10,182.0
2020-07-11,163.0
2020-07-12,121.0
2020-07-13,129.0
2020-07-14,287.0
2020-07-15,197.0
2020-07-16,236.0
2020-07-17,254.0
2020-07-18,261.0
2020-07-19,86.0
2020-07-20,296.0
2020-07-21,468.0
2020-07-22,293.0
2020-07-23,421.0
2020-07-24,345.0
2020-07-25,407.0
2020-07-26,239.0
2020-07-27,251.0
2020-07-28,500.0
2020-07-29,430.0
2020-07-30,475.0
2020-07-31,435.0
2020-08-01,512.0
2020-08-02,342.0
2020-08-03,248.0
2020-08-04,438.0
2020-08-05,704.0
2020-08-06,529.0
2020-08-07,581.0
2020-08-08,571.0
2020-08-09,342.0
2020-08-10,315.0
2020-08-11,705.0
2020-08-12,595.0
2020-08-13,562.0
2020-08-14,550.0
2020-08-15,547.0
2020-08-16,351.0
2020-08-17,279.0
2020-08-18,658.0
2020-08-19,498.0
2020-08-20,500.0
2020-08-21,498.0
2020-08-22,514.0
2020-08-23,323.0
2020-08-24,279.0
2020-08-25,644.0
2020-08-26,421.0
2020-08-27,515.0
2020-08-28,492.0
2020-08-29,544.0
2020-08-30,337.0
2020-08-31,297.0
2020-09-01,722.0
2020-09-02,501.0
2020-09-03,662.0
2020-09-04,556.0
2020-09-05,701.0
2020-09-06,449.0
2020-09-07,493.0
2020-09-08,654.0
2020-09-09,1147.0
2020-09-10,903.0
2020-09-11,865.0
2020-09-12,1085.0
2020-09-13,788.0
2020-09-14,635.0
2020-09-15,1458.0
2020-09-16,1266.0
2020-09-17,1475.0
2020-09-18,1540.0
2020-09-19,1582.0
2020-09-20,1213.0
